pt_index,n,mu_uL,mu_vL,std_uL,std_vL,rho_L,outlier_L,mu_uR,mu_vR,std_uR,std_vR,rho_R,outlier_R,mu_du,mu_dv,lr_mean_delta_mag,bias_mag,precision,v_std_avg,outlier
0,152,-0.09454164070394737,-0.5174177256578947,0.03586487005622109,0.10035264181299024,0.10975636692544628,0.0,0.5293799289473684,-0.35822453243421054,0.05230445907385668,0.3141461957680151,0.09596564542220788,0.0,-0.6239215696513157,-0.15919319322368414,0.6439103958198802,0.48883373990527434,0.12566704167777076,0.20724941879050268,0.0
1,151,-0.04922375877218543,-0.47303443430463576,0.0855754052371552,0.11409229076184463,0.2889568366630136,0.0,0.48085793291390727,-0.0785891219205298,0.09335123801213455,0.4480253711276822,0.278328729977033,0.0,-0.5300816916860926,-0.39444531238410596,0.6607372430267456,0.3502130094919036,0.18526107628470415,0.2810588309447634,0.0
2,151,-0.05549824745033112,-0.41305114264900666,0.01322706243556352,0.02367079625027703,0.06462409591024171,0.0,0.43046243543046364,0.3418744233112582,0.021646577398002506,0.23698178522706045,0.132177757317682,0.0,-0.48596068288079475,-0.7549255659602649,0.8978142321473829,0.190829942385416,0.07388155532772588,0.13032629073866875,0.0
3,150,-0.038243896793333336,-0.417102717,0.011278444253702445,0.016544132226047087,-0.033237314968627724,0.0,0.37245482253333334,-0.030902945200000004,0.025817997929486372,0.3885178649315579,0.5981534628960956,0.0,-0.4106987193266667,-0.3861997718,0.5637585491989777,0.27946646321484103,0.11053960983519845,0.20253099857880247,0.0
4,151,-0.022490819214039736,-0.4480620300000001,0.03402587368042069,0.144909418551897,-0.40974993238046914,0.006622516556291391,0.346365011192053,-0.10698248715231787,0.02558602055867844,0.39012247684121715,-0.014293643873057331,0.0,-0.3688558304060927,-0.34107954284768227,0.5023841937937061,0.3213132849145289,0.14866094740805333,0.26751594769655707,0.0033112582781456954
5,151,0.04258601908874172,-0.4609446828476821,0.0762415562341619,0.09737539658086629,-0.3523190633009268,0.0,0.3266929353642384,0.022327071059602653,0.04247472764963273,0.4140310609231076,0.16601309740481604,0.0,-0.28410691627549667,-0.4832717539072847,0.5605964038416543,0.28668465060609916,0.15753068534694215,0.2557032287519869,0.0
6,151,0.011050161128754966,-0.42194783158940397,0.015543632356459197,0.03098262071218618,-0.07643239712497711,0.0,0.3155451078807947,-0.1815557551655629,0.03102155208887341,0.40648947883207354,0.34240999503509856,0.0,-0.30449494675203975,-0.24039207642384106,0.3879504130747812,0.34310386509245633,0.12100932099739808,0.21873604977212985,0.0
7,151,0.02488053319298013,-0.41331661761589406,0.03330587897825454,0.08863809568357901,0.2745020069702775,0.0,0.2719271982781457,-0.12047222251655629,0.016933492333569066,0.43615667653575474,0.33722822663306473,0.0,-0.24704666508516557,-0.2928443950993378,0.3831316933781373,0.3053790084923088,0.14375853588278933,0.2623973861096669,0.0
8,151,0.04346512768410596,-0.4986344483443709,0.05337517514380511,0.15201442412941024,0.3348177574364195,0.0,0.24648552158940396,-0.37097412357615894,0.03843204327491263,0.328582967145394,0.30817617679650083,0.0,-0.203020393905298,-0.12766032476821193,0.23982168138303864,0.458336788664131,0.1431011524233805,0.2402986956374021,0.0
9,151,0.06982124468874172,-0.40763144364238413,0.024398476000440743,0.08900352383740244,0.04237107276251804,0.0,0.19855283668874174,-0.4736362769536424,0.029309486753006816,0.18215989917287603,-0.014929838719980226,0.0,-0.128731592,0.06600483331125828,0.14466672319265914,0.4606130270953386,0.08121784644093151,0.13558171150513923,0.0
