uL,vL,uR,vR,uL2,vL2,uR2,vR2,uL_vL,uR_vR,uL_uR,vL_vR,Y_x,Y_y,T,pt_index,screen_w,screen_h
-0.12396793,-0.17068906,0.3932457,-0.31246325,0.015368047,0.029134758,0.15464216,0.09763329,0.021159971,-0.122874826,-0.048749853,0.05333406,76.0,48.0,1756552826.341609,0,2560,1600
-0.16684008,-0.1817356,0.43872103,-0.37923804,0.027835611,0.033027828,0.19247614,0.1438215,0.030320782,-0.16637969,-0.07319625,0.06892105,76.0,48.0,1756552826.3733513,0,2560,1600
-0.2601105,-0.31474575,0.46965855,-0.3822661,0.06765748,0.09906489,0.22057916,0.14612737,0.08186868,-0.17953454,-0.122163124,0.12031663,76.0,48.0,1756552826.4048555,0,2560,1600
-0.25252268,-0.3234177,0.4857175,-0.38120487,0.06376771,0.10459901,0.2359215,0.14531715,0.08167031,-0.18515788,-0.12265469,0.1232884,76.0,48.0,1756552826.4422896,0,2560,1600
-0.24885575,-0.3270609,0.47602272,-0.3568799,0.06192919,0.10696883,0.22659764,0.12736326,0.081390984,-0.16988294,-0.118461,0.11672146,76.0,48.0,1756552826.4745502,0,2560,1600
-0.24963453,-0.28980038,0.46732366,-0.39932832,0.062317405,0.08398426,0.21839139,0.15946312,0.072344184,-0.18661557,-0.116660126,0.1157255,76.0,48.0,1756552826.5070882,0,2560,1600
-0.24509849,-0.33476254,0.47623286,-0.37941265,0.06007327,0.11206597,0.22679773,0.14395395,0.082049794,-0.18068877,-0.116723955,0.12701315,76.0,48.0,1756552826.5411518,0,2560,1600
-0.26680088,-0.3055873,0.46520442,-0.36606497,0.071182705,0.09338359,0.21641514,0.13400355,0.08153095,-0.17029503,-0.12411694,0.1118648,76.0,48.0,1756552826.573337,0,2560,1600
-0.25751922,-0.2878175,0.48622778,-0.4048991,0.06631615,0.08283891,0.23641746,0.16394328,0.07411854,-0.19687319,-0.125213,0.11653704,76.0,48.0,1756552826.6057873,0,2560,1600
-0.2556056,-0.2565556,0.4659497,-0.37401107,0.06533423,0.06582077,0.21710914,0.13988428,0.065577045,-0.17427035,-0.11909936,0.09595463,76.0,48.0,1756552826.641461,0,2560,1600
-0.2553715,-0.27670208,0.4709992,-0.39788517,0.065214604,0.076564044,0.22184025,0.1583126,0.07066183,-0.18740359,-0.120279774,0.11009566,76.0,48.0,1756552826.6748772,0,2560,1600
-0.25648037,-0.2662121,0.4630633,-0.3615564,0.06578218,0.07086889,0.2144276,0.13072303,0.06827818,-0.1674235,-0.11876665,0.09625069,76.0,48.0,1756552826.7048304,0,2560,1600
