uL,vL,uR,vR,uL2,vL2,uR2,vR2,uL_vL,uR_vR,uL_uR,vL_vR,Y_x,Y_y,T,pt_index,screen_w,screen_h
-0.0018583251,-0.41286933,0.3335667,-0.6089685,3.4533723e-06,0.17046107,0.11126673,0.37084264,0.0007672454,-0.2031316,-0.0006198753,0.2514244,76.0,48.0,1756557993.5807414,0,2560,1600
-0.003943715,-0.42054343,0.33882117,-0.65879416,1.5552887e-05,0.17685677,0.11479979,0.43400976,0.0016585034,-0.22321342,-0.0013362141,0.27705157,76.0,48.0,1756557993.623962,0,2560,1600
-0.0046220473,-0.4152684,0.3739168,-0.6103759,2.1363323e-05,0.17244785,0.13981377,0.3725587,0.0019193903,-0.22822979,-0.0017282612,0.25346982,76.0,48.0,1756557993.6653984,0,2560,1600
-0.007698121,-0.41745442,0.36204574,-0.6385283,5.9261067e-05,0.17426819,0.13107711,0.40771836,0.0032136145,-0.23117644,-0.0027870717,0.26655644,76.0,48.0,1756557993.709752,0,2560,1600
-0.0111964485,-0.41835868,0.33198643,-0.6135651,0.00012536046,0.17502399,0.110215,0.3764621,0.0046841316,-0.20369528,-0.003717069,0.2566903,76.0,48.0,1756557993.7486804,0,2560,1600
-0.027255952,-0.4068292,0.33337504,-0.5713759,0.0007428869,0.16551,0.11113891,0.32647046,0.011088517,-0.19048247,-0.009086453,0.23245241,76.0,48.0,1756557993.7884436,0,2560,1600
-0.0025798564,-0.43497664,0.35071924,-0.6336775,6.6556586e-06,0.18920468,0.12300399,0.40154716,0.0011221772,-0.22224289,-0.00090480526,0.2756349,76.0,48.0,1756557993.8325315,0,2560,1600
-0.012608005,-0.42893478,0.33967534,-0.6624365,0.00015896178,0.18398505,0.11537934,0.43882206,0.005408012,-0.22501333,-0.004282628,0.28414205,76.0,48.0,1756557993.8740356,0,2560,1600
-0.031165862,-0.39446437,0.3312118,-0.61932486,0.00097131095,0.15560213,0.10970127,0.38356325,0.012293822,-0.2051277,-0.010322502,0.24430157,76.0,48.0,1756557993.9174156,0,2560,1600
-0.3015884,-0.32730833,0.41779593,-0.6790609,0.09095555,0.107130736,0.17455342,0.4611237,0.098712385,-0.28370887,-0.12600239,0.22226228,76.0,48.0,1756557993.9569983,0,2560,1600
-0.35322264,-0.22011727,0.44209182,-0.736469,0.12476623,0.04845161,0.1954452,0.54238653,0.0777504,-0.32558692,-0.15615684,0.16210954,76.0,48.0,1756557994.0006442,0,2560,1600
-0.369457,-0.21696246,0.48406592,-0.76137143,0.13649848,0.04707271,0.23431982,0.5796865,0.0801583,-0.36855397,-0.17884155,0.16518903,76.0,48.0,1756557994.0417492,0,2560,1600
-0.35198405,-0.20369746,0.5119617,-0.73493207,0.12389276,0.041492652,0.26210475,0.5401252,0.071698256,-0.37625706,-0.18020234,0.14970379,76.0,48.0,1756557994.0811322,0,2560,1600
-0.35593453,-0.16424082,0.5784216,-0.76329523,0.12668939,0.026975049,0.3345715,0.5826196,0.05845898,-0.44150642,-0.20588021,0.12536424,76.0,48.0,1756557994.1248455,0,2560,1600
-0.35447824,-0.19702996,0.53358966,-0.6938423,0.12565482,0.038820807,0.28471792,0.4814171,0.06984284,-0.37022707,-0.18914592,0.13670772,76.0,48.0,1756557994.1642044,0,2560,1600
-0.35750178,-0.1803271,0.53787404,-0.6948648,0.12780753,0.032517865,0.28930852,0.48283708,0.06446726,-0.37374976,-0.19229093,0.12530296,76.0,48.0,1756557994.2081602,0,2560,1600
-0.3632082,-0.20582533,0.53735596,-0.7361085,0.1319202,0.042364065,0.2887514,0.54185575,0.07475745,-0.39555228,-0.19517209,0.15150978,76.0,48.0,1756557994.248346,0,2560,1600
-0.38027883,-0.20664585,0.5506283,-0.74430275,0.14461198,0.042702504,0.30319154,0.55398655,0.07858304,-0.40983415,-0.20939228,0.15380707,76.0,48.0,1756557994.2891343,0,2560,1600
-0.36518574,-0.20705576,0.5096822,-0.7020283,0.13336062,0.04287209,0.25977594,0.4928437,0.07561381,-0.3578113,-0.18612866,0.145359,76.0,48.0,1756557994.3323588,0,2560,1600
-0.37677655,-0.16838571,0.54222494,-0.749308,0.14196058,0.02835375,0.2940079,0.56146246,0.063443795,-0.40629348,-0.20429765,0.12617277,76.0,48.0,1756557994.3741987,0,2560,1600
-0.36220345,-0.21718831,0.4869893,-0.6929184,0.13119134,0.047170766,0.23715855,0.48013595,0.07866636,-0.33744383,-0.1763892,0.15049379,76.0,48.0,1756557994.4197822,0,2560,1600
-0.37573928,-0.17346358,0.5027439,-0.6652973,0.14118001,0.030089615,0.2527514,0.44262055,0.06517708,-0.33447418,-0.18890062,0.11540486,76.0,48.0,1756557994.4560611,0,2560,1600
-0.3884091,-0.18008015,0.5099702,-0.67796427,0.15086164,0.03242886,0.26006958,0.45963556,0.06994477,-0.34574157,-0.19807707,0.12208791,76.0,48.0,1756557994.5014474,0,2560,1600
-0.38228396,-0.12755518,0.5335888,-0.7104922,0.14614102,0.016270323,0.28471702,0.5047992,0.0487623,-0.3791107,-0.20398244,0.090626955,76.0,48.0,1756557994.5415475,0,2560,1600
-0.36500788,-0.167671,0.5269709,-0.7258466,0.13323075,0.028113563,0.27769837,0.52685326,0.061201233,-0.38250005,-0.19234854,0.12170342,76.0,48.0,1756557994.5799344,0,2560,1600
-0.3768621,-0.17738742,0.54984474,-0.7993385,0.14202504,0.031466294,0.30232927,0.63894206,0.066850595,-0.4395121,-0.20721565,0.1417926,76.0,48.0,1756557994.633443,0,2560,1600
-0.3476746,-0.17848073,0.57603186,-0.7629687,0.12087764,0.03185537,0.3318127,0.58212125,0.062053222,-0.43949428,-0.20027167,0.13617522,76.0,48.0,1756557994.6643662,0,2560,1600
-0.39265394,-0.12660682,0.57044435,-0.77684295,0.15417711,0.016029285,0.32540676,0.603485,0.049712665,-0.4431457,-0.22398722,0.09835362,76.0,48.0,1756557994.7089794,0,2560,1600
-0.36173233,-0.16279748,0.57884693,-0.7209685,0.13085027,0.026503019,0.33506376,0.51979554,0.05888911,-0.41733038,-0.20938765,0.11737185,76.0,48.0,1756557994.7489848,0,2560,1600
-0.37796333,-0.12770946,0.570324,-0.794871,0.14285627,0.016309705,0.32526946,0.63181984,0.04826949,-0.45333397,-0.21556155,0.10151254,76.0,48.0,1756557994.8013072,0,2560,1600
-0.35840344,-0.16440202,0.5946358,-0.76178354,0.12845302,0.027028024,0.3535917,0.58031416,0.05892225,-0.45298374,-0.2131195,0.12523875,76.0,48.0,1756557994.8338432,0,2560,1600
-0.3625013,-0.14863376,0.592977,-0.7265556,0.1314072,0.022091998,0.3516217,0.527883,0.053879935,-0.43083075,-0.21495493,0.1079907,76.0,48.0,1756557994.872374,0,2560,1600
-0.35906932,-0.15383878,0.5955101,-0.7757714,0.12893076,0.02366637,0.3546323,0.60182124,0.055238787,-0.4619797,-0.2138294,0.11934372,76.0,48.0,1756557994.9166265,0,2560,1600
-0.35762572,-0.17803307,0.5782548,-0.7428952,0.12789614,0.031695772,0.33437866,0.55189323,0.063669205,-0.42958274,-0.2067988,0.1322599,76.0,48.0,1756557994.9568415,0,2560,1600
-0.35375974,-0.17889997,0.574837,-0.7879101,0.12514596,0.0320052,0.33043763,0.62080234,0.06328761,-0.45291993,-0.20335421,0.1409571,76.0,48.0,1756557995.0012674,0,2560,1600
-0.34283888,-0.1960595,0.5553457,-0.7539916,0.117538504,0.038439322,0.3084089,0.5685033,0.06721681,-0.418726,-0.1903941,0.14782721,76.0,48.0,1756557995.0460498,0,2560,1600
-0.36438194,-0.15747264,0.55728096,-0.78154427,0.13277419,0.024797633,0.31056204,0.6108114,0.05738019,-0.43553972,-0.20306312,0.12307184,76.0,48.0,1756557995.0799897,0,2560,1600
-0.3544635,-0.17528445,0.56819165,-0.7806115,0.12564436,0.030724637,0.32284173,0.6093544,0.062131934,-0.44353694,-0.20140317,0.13682906,76.0,48.0,1756557995.1240911,0,2560,1600
-0.35356462,-0.16538724,0.5688254,-0.7915999,0.12500793,0.02735294,0.32356235,0.6266305,0.058475073,-0.45028216,-0.20111653,0.13092053,76.0,48.0,1756557995.1633008,0,2560,1600
-0.34431845,-0.18478042,0.5702354,-0.79456246,0.1185552,0.0341438,0.3251684,0.6313295,0.06362331,-0.4530876,-0.19634257,0.14681958,76.0,48.0,1756557995.2075753,0,2560,1600
-0.34872183,-0.22073811,0.53927416,-0.74090326,0.12160692,0.048725314,0.29081663,0.5489377,0.0769762,-0.39955,-0.18805668,0.1635456,76.0,48.0,1756557995.2511158,0,2560,1600
-0.34685275,-0.19389582,0.53355116,-0.77101254,0.12030682,0.03759559,0.28467685,0.59446037,0.06725329,-0.41137466,-0.18506368,0.14949611,76.0,48.0,1756557995.2888846,0,2560,1600
-0.36154115,-0.18167475,0.5445357,-0.7835316,0.130712,0.033005714,0.2965191,0.61392176,0.065682895,-0.4266609,-0.19687206,0.1423479,76.0,48.0,1756557995.332554,0,2560,1600
-0.36004028,-0.20107149,0.5325846,-0.76322967,0.12962902,0.040429745,0.28364637,0.58251953,0.072393835,-0.4064844,-0.19175191,0.15346374,76.0,48.0,1756557995.377464,0,2560,1600
-0.3722917,-0.1529379,0.5613877,-0.8054894,0.13860112,0.023390003,0.3151562,0.6488132,0.056937516,-0.4521919,-0.209,0.12318986,76.0,48.0,1756557995.420963,0,2560,1600
-0.37271005,-0.17217931,0.53976494,-0.74132425,0.13891278,0.029645715,0.2913462,0.5495616,0.06417296,-0.40014082,-0.20117581,0.1276407,76.0,48.0,1756557995.4620905,0,2560,1600
-0.35488105,-0.17645264,0.55381507,-0.75687855,0.12594056,0.031135535,0.30671114,0.5728651,0.0626197,-0.41917074,-0.19653848,0.13355322,76.0,48.0,1756557995.5032296,0,2560,1600
-0.35543507,-0.17767625,0.5378453,-0.78714275,0.12633409,0.03156885,0.28927758,0.6195937,0.06315237,-0.42336103,-0.19116908,0.13985658,76.0,48.0,1756557995.5409734,0,2560,1600
-0.34617665,-0.19355455,0.5590161,-0.8006977,0.11983828,0.037463363,0.312499,0.64111674,0.06700407,-0.4476029,-0.19351833,0.15497868,76.0,48.0,1756557995.581142,0,2560,1600
-0.35537183,-0.17541012,0.55186903,-0.77571356,0.12628914,0.030768713,0.3045594,0.60173154,0.06233582,-0.42809227,-0.19611871,0.13606802,295.0,48.0,1756557995.6386538,1,2560,1600
-0.35446885,-0.20056006,0.5370433,-0.7777387,0.12564816,0.04022434,0.28841546,0.6048775,0.07109229,-0.4176793,-0.1903651,0.15598331,295.0,48.0,1756557995.6655467,1,2560,1600
-0.337207,-0.20635733,0.5490599,-0.7803094,0.113708556,0.04258335,0.30146682,0.6088827,0.06958514,-0.42843664,-0.18514685,0.16102256,295.0,48.0,1756557995.7138236,1,2560,1600
-0.35635546,-0.17997363,0.5508138,-0.7981703,0.1269892,0.03239051,0.3033958,0.63707584,0.06413458,-0.4396432,-0.19628549,0.14364961,295.0,48.0,1756557995.7477903,1,2560,1600
-0.36825606,-0.16460684,0.5533353,-0.8176831,0.13561252,0.027095413,0.30617997,0.6686057,0.060617466,-0.45245293,-0.20376907,0.13459623,295.0,48.0,1756557995.7878304,1,2560,1600
-0.37596238,-0.16035555,0.54908913,-0.75192094,0.1413477,0.025713906,0.3014989,0.5653851,0.060287654,-0.41287163,-0.20643686,0.1205747,295.0,48.0,1756557995.8327537,1,2560,1600
-0.34285104,-0.20609508,0.55016834,-0.76754993,0.11754684,0.042475186,0.30268517,0.5891329,0.07065992,-0.42228165,-0.18862578,0.15818827,295.0,48.0,1756557995.8730545,1,2560,1600
-0.3035255,-0.27945626,0.5292571,-0.7880046,0.092127725,0.0780958,0.28011307,0.62095124,0.084822096,-0.417057,-0.16064303,0.22021282,295.0,48.0,1756557995.917098,1,2560,1600
-0.29210004,-0.24954607,0.5218775,-0.7712285,0.08532243,0.062273234,0.27235618,0.5947934,0.07289241,-0.40248683,-0.15244046,0.19245704,295.0,48.0,1756557995.9567184,1,2560,1600
-0.28981394,-0.32187495,0.5264402,-0.7363502,0.08399212,0.10360348,0.2771393,0.54221165,0.09328385,-0.38764438,-0.15256971,0.23701268,295.0,48.0,1756557996.0019495,1,2560,1600
-0.2989245,-0.2896536,0.52550673,-0.7510796,0.089355856,0.08389921,0.27615732,0.56412053,0.08658456,-0.39469737,-0.15708683,0.2175529,295.0,48.0,1756557996.040415,1,2560,1600
-0.29236028,-0.31471387,0.5216718,-0.77851653,0.085474536,0.099044815,0.27214143,0.6060879,0.092009835,-0.40613008,-0.15251611,0.24500994,295.0,48.0,1756557996.082583,1,2560,1600
-0.3106462,-0.29287785,0.5294338,-0.77633035,0.09650106,0.08577743,0.2803001,0.60268885,0.09098139,-0.4110155,-0.16446659,0.22736996,295.0,48.0,1756557996.1245592,1,2560,1600
-0.30595595,-0.30754352,0.5114377,-0.7788317,0.093609035,0.09458302,0.26156852,0.6065788,0.09409477,-0.3983239,-0.1564774,0.23952465,295.0,48.0,1756557996.1649957,1,2560,1600
-0.31547704,-0.3208667,0.52494556,-0.7530653,0.099525765,0.10295544,0.27556783,0.5671073,0.10122608,-0.39531827,-0.16560827,0.24163358,295.0,48.0,1756557996.2085798,1,2560,1600
-0.29338092,-0.32414708,0.52847975,-0.72010636,0.08607236,0.10507132,0.27929085,0.51855314,0.09509856,-0.38056165,-0.15504588,0.23342037,295.0,48.0,1756557996.2514882,1,2560,1600
-0.3002524,-0.29174,0.511632,-0.716385,0.0901515,0.08511223,0.2617673,0.5132075,0.087595634,-0.3665255,-0.15361874,0.20899817,295.0,48.0,1756557996.2897143,1,2560,1600
-0.2964167,-0.29594362,0.5194227,-0.7418757,0.08786285,0.087582625,0.26979995,0.5503796,0.08772263,-0.3853471,-0.15396555,0.21955338,295.0,48.0,1756557996.3347528,1,2560,1600
-0.29778248,-0.32143784,0.5177694,-0.71712655,0.08867441,0.10332228,0.26808512,0.5142705,0.095718555,-0.37130615,-0.15418266,0.2305116,295.0,48.0,1756557996.3721228,1,2560,1600
-0.30634373,-0.32240015,0.5198753,-0.77067965,0.093846485,0.10394186,0.27027035,0.5939472,0.09876527,-0.40065733,-0.15926056,0.24846724,295.0,48.0,1756557996.4199398,1,2560,1600
-0.3137632,-0.34190333,0.49465835,-0.7327194,0.09844734,0.11689788,0.24468687,0.53687775,0.10727668,-0.36244577,-0.15520558,0.25051922,295.0,48.0,1756557996.4575386,1,2560,1600
-0.31249413,-0.3230268,0.51102895,-0.72024924,0.097652584,0.10434631,0.26115054,0.51875895,0.10094398,-0.3680682,-0.15969354,0.2326598,295.0,48.0,1756557996.5033176,1,2560,1600
-0.2993444,-0.2525229,0.5068393,-0.73466045,0.089607075,0.06376781,0.25688607,0.539726,0.07559132,-0.37235478,-0.15171951,0.1855186,295.0,48.0,1756557996.54251,1,2560,1600
-0.32606795,-0.33255312,0.5021873,-0.7321337,0.106320314,0.110591576,0.2521921,0.53601974,0.108434916,-0.36766827,-0.16374719,0.24347335,295.0,48.0,1756557996.5813737,1,2560,1600
-0.30985567,-0.31170568,0.5189397,-0.706747,0.09601053,0.09716043,0.2692984,0.49949127,0.09658377,-0.36675906,-0.1607964,0.22029704,295.0,48.0,1756557996.625011,1,2560,1600
-0.3174168,-0.26914328,0.5278546,-0.7512596,0.10075343,0.072438106,0.27863052,0.564391,0.0854306,-0.39655587,-0.16754992,0.20219648,295.0,48.0,1756557996.6642568,1,2560,1600
-0.31454134,-0.3184511,0.5176126,-0.74228835,0.09893626,0.1014111,0.2679228,0.550992,0.10016604,-0.3842178,-0.16281056,0.23638254,295.0,48.0,1756557996.708758,1,2560,1600
-0.31815347,-0.30748504,0.5311391,-0.7238808,0.10122163,0.09454705,0.2821087,0.5240035,0.09782743,-0.3844814,-0.16898373,0.22258253,295.0,48.0,1756557996.7485058,1,2560,1600
-0.3250137,-0.3261692,0.51908267,-0.78067356,0.10563389,0.10638635,0.26944682,0.60945123,0.10600945,-0.40523413,-0.16870897,0.25463167,295.0,48.0,1756557996.7886217,1,2560,1600
-0.3392527,-0.30930534,0.50076973,-0.75043046,0.11509241,0.09566979,0.2507703,0.5631459,0.10493268,-0.37579286,-0.16988748,0.23211215,295.0,48.0,1756557996.8356452,1,2560,1600
-0.3132071,-0.29783484,0.49423707,-0.76098263,0.09809867,0.0887056,0.24427027,0.5790946,0.09328398,-0.37610582,-0.15479855,0.22664714,295.0,48.0,1756557996.8721824,1,2560,1600
-0.31562936,-0.3050664,0.5127967,-0.75124985,0.09962189,0.093065515,0.2629605,0.56437635,0.09628791,-0.38523847,-0.1618537,0.2291811,295.0,48.0,1756557996.9169638,1,2560,1600
